page_id,slug,corpus_role,tier_before,platform,tenant_host,source_url,jurisdiction,gov_id_before,tier_after_no_signals,fetched,gov_id_after,tier_after,changed,signals_used,country_after,state_after,ca_province_after
1032,cambridge-council-meeting-agenda-meeting-2026-02-03-council-meeting,target,unresolved,escribe,pub-cambridge.escribemeetings.com,https://pub-cambridge.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=01c13acb-de9b-49fe-abcc-2f5531657919&lang=English,Cambridge,,unresolved,True,ca:csd:3530010,registry,True,postal_codes,ca,ON,ON
1035,norfolkcounty-2026-01-27-consent-items-council,target,unresolved,escribe,pub-norfolkcounty.escribemeetings.com,https://pub-norfolkcounty.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=1f60a4c9-f8b9-480e-8e02-42d5fda9cd59&Item=5&Tab=attachments&lang=English,Norfolk County,,unresolved,True,,unresolved,False,,us,,
1036,north-bay-by-2026-01-27-council-meeting,target,unresolved,escribe,pub-northbay.escribemeetings.com,https://pub-northbay.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=aebba760-9a79-4c42-952d-3e708555bdbe&lang=English,North Bay By,,unresolved,True,,unresolved,False,,us,,
1042,leeds1000islands-2025-12-01-committee-of-the-whole-meeting,target,unresolved,escribe,pub-leeds1000islands.escribemeetings.com,https://pub-leeds1000islands.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=af471890-b4ef-44d4-8ea8-85e3b755110b&lang=English,Leeds1000Islands,,unresolved,True,,unresolved,False,,us,,
1050,sd57-2026-04-14-regular-open,target,unresolved,escribe,pub-sd57.escribemeetings.com,https://pub-sd57.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=ccbd55ac-f4bf-482e-9280-f3bf1423a00e&lang=English,Sd57,,unresolved,True,,unresolved,False,,us,,
1054,bradfordwestgwillimbury-2024-08-06-regular-council-and-committee-of-the-whole,target,unresolved,escribe,pub-bradfordwestgwillimbury.escribemeetings.com,https://pub-bradfordwestgwillimbury.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=2838805c-96be-4da0-85c7-5f04b73c6ffb&lang=English,Town of Bradford,rtr:ca:on:bradford,unverified,True,rtr:ca:on:bradford,unverified,False,,ca,ON,ON
1055,cambridge-council-meeting-agenda-meeting-2024-11-05-council-meeting,target,unresolved,escribe,pub-cambridge.escribemeetings.com,https://pub-cambridge.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=027dd62d-e3c8-4d90-aeca-1d511b1dbe2b&lang=English,City of Cambridge,,unresolved,True,,unresolved,False,,us,,
1061,leeds1000islands-2025-11-25-committee-of-adjustment-meeting,target,unresolved,escribe,pub-leeds1000islands.escribemeetings.com,https://pub-leeds1000islands.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=0391a89b-196f-4256-9316-324df0b8d2bf&lang=English,Leeds1000Islands,,unresolved,True,,unresolved,False,,us,,
1062,lincoln-2023-06-19-committee-of-the-whole,target,unresolved,escribe,pub-lincoln.escribemeetings.com,https://pub-lincoln.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=08e3d8fe-c855-4b61-9c1c-4a1bcec8fcab&lang=English,Lincoln,,unresolved,True,,unresolved,False,,us,,
1067,prescott-2024-10-07-council-agenda,target,unresolved,escribe,pub-prescott.escribemeetings.com,https://pub-prescott.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=06aa4b97-7f78-465f-8534-4b8797eca8eb&lang=English,Prescott,,unresolved,True,,unresolved,False,,us,,
1071,sd57-2025-11-18-regular-public-meeting,target,unresolved,escribe,pub-sd57.escribemeetings.com,https://pub-sd57.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=027fb971-9bae-45b5-8fe6-bef824c8a2a3&lang=English,Sd57,,unresolved,True,,unresolved,False,,us,,
1074,lincoln-2025-11-03-official-plan-and-zoning-by-law-amendment-by-bousfields-inc-a,target,unresolved,escribe,pub-lincoln.escribemeetings.com,https://pub-lincoln.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=41f53ce5-46cc-48a6-94ed-236fe7f379fd&Item=40&Tab=attachments&lang=English,Town of Lincoln,,unresolved,True,,unresolved,False,,us,,
1112,lake-county-illinois-2026-04-03-technology-committee-april-3-2026,target,unresolved,cablecast,lakecounty.legistar.com,https://lakecounty.legistar.com/MeetingDetail.aspx?GUID=FFAC0916-E4A0-46E2-A08C-36D832696C88&ID=1255914&Options=info%7C&Search=,Lake County Illinois,,unresolved,True,,unresolved,False,,us,,
1113,city-of-saint-paul-2026-05-20-policy-committee-on-2026-05-20-9-30-am,target,unresolved,granicus,stpaul.granicus.com,https://stpaul.granicus.com/player/clip/5896?redirect=true&view_id=37,City of Saint Paul,,unresolved,True,,unresolved,False,,us,,
1114,city-ma-city-council-5-6-2025,target,unresolved,telvue,videoplayer.telvue.com,https://videoplayer.telvue.com/player/yycCAZPb0NN3zj2o5qio-YFMNC43NjCG/playlists/3129/media/950362?autostart=true&fullscreen=false&showtabssearch=true,"City, MA",,unresolved,True,,unresolved,False,,us,,
1115,6-16-25-bellefonte-borough-6-16-25-bellefonte-borough-council,target,unresolved,telvue,videoplayer.telvue.com,https://videoplayer.telvue.com/player/GNduNoua2rBThhw6N4PRP9OCSPf6B2ru/playlists/4806/media/958491?autostart=false&fullscreen=true&showtabssearch=true,Bellefonte Borough,us:county:42027,pinned,True,us:county:42027,pinned,False,,us,PA,
1117,7-1-24-bellefonte-borough-7-1-24-bellefonte-borough-council-regular-meeting,target,unresolved,telvue,videoplayer.telvue.com,https://videoplayer.telvue.com/player/GNduNoua2rBThhw6N4PRP9OCSPf6B2ru/playlists/4806/media/885127?autostart=true&fullscreen=true,Bellefonte Borough,us:county:42027,pinned,True,us:county:42027,pinned,False,,us,PA,
1253,meeting-09cf11,target,unresolved,iqm2,mncppc.iqm2.com,https://mncppc.iqm2.com/Citizens/SplitView.aspx?Format=Agenda&MeetingID=1540&Mode=Video,The Maryland-National Capital Park & Planning Commission,,unresolved,True,,unresolved,False,,us,,
1279,la-2026-08-04-housing-authority-special-meeting-august-4-2026,target,unresolved,cablecast,laquinta.cablecast.tv,https://laquinta.cablecast.tv/show/854,La,us:place:0640354,pinned,False,us:place:0640354,pinned,False,,,,
1319,unknown-jurisdiction-board-of-directors-special-meeting,target,unresolved,granicus,pioneercommunityenergy.granicus.com,https://pioneercommunityenergy.granicus.com/player/clip/267,Unknown Jurisdiction,,unresolved,True,,unresolved,False,,us,,
1325,city-of-beaverton-city-council-regular-hybrid-meeting,target,unresolved,granicus,beaverton.granicus.com,https://beaverton.granicus.com/player/clip/2938,City of Beaverton,,unresolved,True,,unresolved,False,,us,,
1327,city-of-bellevue-2026-01-06-city-council-regular-meeting-on-2026-01-06-6-00-pm,target,unresolved,granicus,bellevue.granicus.com,https://bellevue.granicus.com/player/clip/6180,City of Bellevue,,unresolved,True,,unresolved,False,,us,,
1339,salem-2025-08-09-salembration-historical-narration-of-american-revolution-vetera,target,unresolved,cablecast,salem.cablecast.tv,https://salem.cablecast.tv/internetchannel/show/19115,Salem,,unresolved,True,,unresolved,False,,us,,
1355,lwv-primary-forum-2022-dist-22-pos-2,target,unresolved,cablecast,thurston.cablecast.tv,https://thurston.cablecast.tv/internetchannel/show/28801?site=3,Thurston,,unresolved,True,,unresolved,False,,us,,
1391,county-of-carroll-2025-06-26-board-of-county-commissioners-open-session,target,unresolved,granicus,carroll.granicus.com,https://carroll.granicus.com/player/clip/1978,County of Carroll,,unresolved,True,,unresolved,False,,us,,
1393,city-of-carson-2021-11-03-city-council-on-2021-11-03-5-00-pm,target,unresolved,granicus,carson.granicus.com,https://carson.granicus.com/player/clip/2365?view_id=2,City of Carson,,unresolved,True,,unresolved,False,,us,,
1396,corpus-christi-isd-2025-08-11-regular-board-meeting,target,unresolved,granicus,ccisd.granicus.com,https://ccisd.granicus.com/player/clip/1585?view_id=6,Corpus Christi ISD,,unresolved,True,,unresolved,False,,us,,
1397,central-valley-flood-protection-board-2020-01-24-january-24-2020-board-meeting,target,unresolved,granicus,centralvalleyflood.granicus.com,https://centralvalleyflood.granicus.com/player/clip/207?view_id=2,Central Valley Flood Protection Board,,unresolved,True,,unresolved,False,,us,,
