tenant_host,state,source,evidence
cityfortbragg.granicus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cityftmyers.granicus.com,FL,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Ft Myers, FL'"
citynmb.granicus.com,FL,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'City of North Miami Beach, FL'"
cityofappleton.granicus.com,WI,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cityofbowie.granicus.com,MD,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cityofbrea.cablecast.tv,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cityofbrookings.granicus.com,SD,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cityofbryantx.granicus.com,TX,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cityofcampbell.granicus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cityofcoralvilleiowa.cablecast.tv,IA,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'City of Coralville, IA'"
cityofdeerpark.granicus.com,TX,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cityofdellrapids.granicus.com,SD,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cityofdoral.granicus.com,FL,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'City of Doral, FL'"
cityofdubuque.granicus.com,IA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cityofeastlansing.civicweb.net,MI,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cityofedgewater.granicus.com,FL,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'City of Edgewater, FL'"
cityofelgin.granicus.com,IL,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cityofepa.granicus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cityoffayetteville.granicus.com,NC,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'City of Fayetteville, NC'"
cityoffrederick.granicus.com,MD,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
